 ,12.6999 ,10.4997 ,47.7999 ,13.5997 ,15 ,8.99964 ,9.49994
 ,6.20007 ,19.1991 ,8.30003 ,10.3996 ,6.6999 ,7.80009 ,7.29975
 ,7.79915 ,12.1997 ,15.3999 ,11 ,8.49974 ,9.19999 ,7.19995
 ,5.60018 ,7.69938 ,15.1 ,16.8997 ,18.3999 ,61.6999 ,9.79976
 ,9.49994 ,13.6999 ,11.2999 ,35.5998 ,12.9999 ,16.8997 ,29.5997
 ,7.20003
 ,12.0002 ,10.4995 ,11.6997 ,24.4 ,19.8997 ,10.0001 ,8.19961
 ,20.7001 ,20.3995 ,25.3998 ,30.6001 ,28.8994 ,41.7999 ,13.1997
 ,20.4999 ,20.9997 ,14.1999 ,18.8994 ,7.99989 ,14.8 ,23.8997
 ,11.9 ,11.6002 ,13.7996 ,9.39987 ,10.4998 ,9.79963 ,9.79996
 ,7.59992 ,25.5002 ,33.4996 ,41.1997 ,54.5999 ,11.5996 ,11.6997
 ,6.90004 ,17.4003 ,20.2994 ,40.7001 ,22.5996 ,8.79992 ,8.60007
 ,14.5998 ,12.9996 ,11.5997 ,25.3999 ,8.49995 ,11.8004 ,8.89913
 ,5.99912 ,19.3002 ,19.1991 ,64.9 ,8.19976 ,16.0996 ,9.29979
 ,8.20041 ,74.4995 ,24.9995 ,33.7 ,8.9997 ,9.69973 ,8.69996
 ,17.9 ,14.3998
 ,19.4003 ,11.7993 ,25.2995 ,21.7991 ,40.1998 ,32.1999 ,8.39988
 ,7.30035 ,17.0995 ,17.3002 ,26.8995 ,8.39911 ,12.7003 ,14.4993
 ,5.50001 ,23.5999 ,74.2997 ,30.9 ,7.49963 ,27.4999 ,7.59982
 ,5.79994 ,25.7999 ,26.8998 ,38.1999 ,18.9999 ,12.9999 ,11
 ,17.3001 ,11.2997 ,19.3 ,13.7997 ,6.69971 ,10.4997 ,21.9999
 ,23.1 ,20.2 ,9.19974 ,46.6997 ,7.59988 ,11.3995 ,9.70011
 ,6.30007 ,17.2998 ,20.0999 ,16.2998 ,15.2999 ,12.9999 ,29.9002
 ,10.0998 ,8.29987 ,21.8999 ,16.3997 ,27.4998 ,14 ,13.6998
 ,31.7998 ,29.3997 ,46.9001 ,100.999 ,18.6 ,10.1994 ,8.99997
 ,8.20004 ,17.2997 ,23.1999 ,31.6998 ,16.4997 ,8.1997 ,19.3
